RegioCode,Regio,50PLUS,BBB,BIJ1,BVNL / Groep Van Haga,CDA,ChristenUnie,D66,DENK,Forum voor Democratie,GROENLINKS / Partij van de Arbeid (PvdA),JA21,LEF - Voor de Nieuwe Generatie,LP (Libertaire Partij),Nederland met een PLAN,Nieuw Sociaal Contract,PVV (Partij voor de Vrijheid),Partij voor de Dieren,PartijvdSport,Piratenpartij - De Groenen,Politieke Partij voor Basisinkomen,SP (Socialistische Partij),Samen voor Nederland,Splinter,Staatkundig Gereformeerde Partij (SGP),VVD,Volt,x,y
GM0014,Groningen,0.2666230250461987,2.271409965291274,0.6396224999829525,0.40982209220656124,2.053883763271485,2.582356511125204,9.043362041336797,0.8707867083989662,1.9543263165790425,30.483671896842118,0.6593976092574787,0.08114613805753874,0.05387012526508875,0.06887193230093624,11.622309050862945,13.192043587068442,4.143908243492966,0.0,0.1241058582056475,0.0,4.3300670308014375,0.04023211886886375,0.13297056236319374,0.51278904049806,10.619233680420596,3.843190202456205,20.128979,-0.6409227
GM0034,Almere,0.8387065959784115,2.599226250179109,1.5188422410087405,0.633328557099871,1.1520275111047429,1.4108993647609496,5.432487940010508,4.921430959545303,3.331900463294646,15.000238811673114,0.6877776185699958,0.0945694225533744,0.05827004823995797,0.11367435640254096,11.541290538281512,26.530066389645125,2.441610545923485,0.0,0.12036108324974924,0.03629937431341644,3.796150355829393,0.08119596885895783,0.20060180541624875,0.32764961551320626,15.83607966757415,1.295314514973492,3.1275666,0.9836403
GM0037,Stadskanaal,0.491336953710887,8.182053271269718,0.08792345487457978,0.5792604085854668,4.716834755624515,5.523661753297129,2.2498060512024827,0.23273855702094648,2.916989914662529,8.47685544349625,0.4551331781742953,0.04137574347039048,0.00517196793379881,0.025859839668994054,17.201965347814845,32.70235324540988,1.039565554693561,0.0,0.06723558313938453,0.0,4.137574347039048,0.12929919834497025,0.08792345487457978,1.8360486164985776,8.399275924489269,0.41375743470390486,-5.9412713,-13.381142
GM0047,Veendam,0.6021531537011131,6.1614257040326015,0.12772945684569065,0.5352472477343228,2.2322243172556413,1.7273888449607688,3.722401313788699,1.757800620400219,3.0350951888571256,12.839851590535856,0.5048354722948726,0.06082355087890031,0.036494130527340185,0.07298826105468037,17.16440605802567,31.634328812116053,1.2894592786326866,0.0,0.08515297123046044,0.0,4.738154613466334,0.12164710175780062,0.04865884070312025,0.4318472112401922,10.565050787664983,0.5048354722948726,-5.4223027,-10.1634
GM0050,Zeewolde,0.46605453533667224,7.44991652754591,0.10434056761268781,0.806900389538119,3.387590428491931,5.098775737340011,5.147468002225932,0.7373400111296605,2.8450194769059545,9.133277685030606,0.806900389538119,0.03478018920422927,0.04869226488592098,0.020868113522537562,13.967723984418475,25.319977740678908,1.5998887033945464,0.0,0.06956037840845854,0.020868113522537562,2.045075125208681,0.041736227045075125,0.13216471897607124,1.8433500278241515,17.682248191430162,1.189482470784641,-6.179353,9.650741
GM0059,Achtkarspelen,0.2800022400179201,7.487259898079184,0.05600044800358403,0.6776054208433667,8.775270202161618,5.157641261130089,1.9096152769222154,0.07840062720501764,3.2144257154057234,7.694461555692445,0.5656045248361987,0.03920031360250882,0.05040040320322563,0.022400179201433612,16.822534580276642,34.47947583580669,0.9856078848630789,0.0,0.03920031360250882,0.022400179201433612,2.2008176065408525,0.08960071680573445,0.03920031360250882,2.0720165761326093,6.860054880439043,0.3808030464243714,-6.1150126,-14.04763
GM0060,Ameland,0.3964623360780726,13.937175968283013,0.030497102775236352,0.42695943885330895,5.062519060689235,1.5858493443122903,5.4589813967673075,0.060994205550472705,1.1893870082342177,14.028667276608722,0.6709362610551998,0.030497102775236352,0.0,0.030497102775236352,16.62092101250381,18.542238487343703,1.7993290637389447,0.0,0.15248551387618176,0.0,2.012808783165599,0.09149130832570906,0.060994205550472705,0.060994205550472705,16.163464470875265,1.5858493443122903,4.970465,-15.600028
GM0072,Harlingen,0.7111111111111111,5.08641975308642,0.19753086419753085,0.691358024691358,4.444444444444445,1.8864197530864197,3.9901234567901236,0.35555555555555557,2.962962962962963,14.360493827160493,0.7308641975308642,0.02962962962962963,0.019753086419753086,0.03950617283950617,14.864197530864198,28.05925925925926,2.034567901234568,0.0,0.10864197530864197,0.02962962962962963,4.355555555555555,0.07901234567901234,0.14814814814814814,0.4345679012345679,13.432098765432098,0.9481481481481482,-2.5256488,-7.1805525
GM0074,Heerenveen,0.43202500229800533,7.494561387382419,0.14094432699083861,0.7506817415816405,3.753408707908202,1.9854766063057265,5.585684958789105,0.9375861751999265,2.730030333670374,16.71722278395686,0.6342494714587738,0.0367680853019579,0.05515212795293685,0.05208812084444036,14.753194227410608,22.59398841805313,1.9579005423292581,0.0,0.08885620614639826,0.03370407819346141,3.587952324049392,0.04289609951895088,0.10724024879737722,0.49330514446793516,14.005576492937463,1.0295063884548212,6.5090327,-7.438627
GM0080,Leeuwarden,0.45366506778978016,4.276670696356381,0.40426887129691014,0.6421505544073106,3.368040660869113,2.078539952423663,6.251218656163475,0.7968386434244563,2.671294310338104,22.320581315238726,0.7058456498849589,0.08579339390866904,0.06499499538535533,0.057195595939112685,13.928427511081647,21.60823616581523,2.8376814985246135,0.0,0.13518959040153908,0.02729789806184924,3.9854931170299888,0.04939619649287005,0.1624874884633883,0.3769709732350609,11.259733000558956,1.451988196908838,15.058694,-3.0092018
